Trip ID,Origin city,Destination,Region,Distance (km),Start date,End date,Duration (days),Traveler age,Traveler gender,Traveler nationality,Group size,Trip type,Accommodation type,Accommodation cost,Transportation type,Transportation cost,Food cost,Activities cost,Total cost,Season,Currency
1083,Bhimber,Mamu Kanjan,Punjab,276,05/05/2025,08/05/2025,3,18,Male,Pakistani,3,Adventure,Budget,17544,Road (Coaster),44407,8505,3258,73714,Spring,PKR
1084,Gupis,Jahanian,Punjab,713,31/12/2025,02/01/2026,2,23,Male,Pakistani,4,Adventure,Mid,32200,Road (Car (Small)),32690,15536,4944,85370,Winter,PKR
1085,Sakrand,Rush Lake,Gilgit-Baltistan,1347,02/07/2026,12/07/2026,10,30,Female,Foreign,6,Business,Budget,153910,Flight,122685,83220,30353,390168,Summer,PKR
1086,Khapalu,Shimshal Valley,Gilgit-Baltistan,209,16/12/2026,25/12/2026,9,22,Female,Pakistani,6,Family,Mid,317250,Road (Car (SUV)),13762,123822,60966,515800,Winter,PKR
1087,Rohillanwali,Chilam Chowki,Gilgit-Baltistan,639,18/01/2025,25/01/2025,7,60,Male,Pakistani,3,Family,Mid,112840,Flight,21628,45045,35322,214835,Winter,PKR
1088,Kabirwala,Hispar Glacier,Gilgit-Baltistan,873,30/04/2025,09/05/2025,9,55,Male,Pakistani,4,Business,Budget,56394,Flight,44465,52308,20232,173399,Spring,PKR
1089,Lower Dir,Gor Khuttree,KPK,115,26/02/2025,03/03/2025,5,37,Female,Pakistani,6,Business,Luxury,405210,Road (Car (Small)),5500,118470,65880,595060,Winter,PKR
1090,Gwadar,Wartair Pass,KPK,1673,21/02/2026,28/02/2026,7,19,Male,Pakistani,3,Adventure,Mid,127750,Flight,56014,54075,29757,267596,Winter,PKR
1091,Rojhan,Blind Lake,Gilgit-Baltistan,943,08/12/2025,15/12/2025,7,38,Male,Pakistani,5,Adventure,Mid,181545,Flight,65205,69090,29750,345590,Winter,PKR
1092,Kund Malir,Batura Glacier,Gilgit-Baltistan,1978,31/12/2026,05/01/2027,5,53,Female,Foreign,5,Business,Luxury,538711,Flight,158311,90806,94256,882084,Winter,PKR
1093,Shangla,Hunza Glacier,Gilgit-Baltistan,245,03/10/2025,10/10/2025,7,65,Male,Pakistani,1,Leisure,Luxury,154917,Road (Coaster),41001,22659,23275,241852,Autumn,PKR
1094,Bahawalnagar,Darkot Pass,Gilgit-Baltistan,804,29/07/2026,07/08/2026,9,33,Male,Pakistani,2,Adventure,Mid,113949,Flight,20088,30816,26010,190863,Summer,PKR
1095,Phalia,Nambal Lake,AJK,171,06/06/2026,16/06/2026,10,33,Male,Pakistani,6,Business,Mid,419340,Road (Car (Small)),8578,113040,78240,619198,Summer,PKR
1096,Awaran,Hispar Glacier,Gilgit-Baltistan,1596,19/02/2026,25/02/2026,6,55,Male,Pakistani,3,Business,Budget,42120,Flight,60288,22140,9540,134088,Winter,PKR
1097,Rojhan,Barpu,Gilgit-Baltistan,1088,17/09/2025,23/09/2025,6,62,Male,Pakistani,2,Leisure,Luxury,180912,Flight,31319,40104,35472,287807,Autumn,PKR
1098,Vehari,Jahanian,Punjab,68,17/05/2025,22/05/2025,5,31,Male,Pakistani,5,Leisure,Mid,178125,Flight,3802,32825,32800,247552,Spring,PKR
1099,Qaidabad,Banjosa Lake,AJK,295,26/10/2026,01/11/2026,6,25,Male,Pakistani,4,Family,Mid,162876,Road (Car (SUV)),20742,49512,30096,263226,Autumn,PKR
1100,Leepa Valley,Pir Ghaib Waterfall,Balochistan,1081,17/05/2026,20/05/2026,3,49,Male,Pakistani,1,Business,Budget,16194,Road (Car (Small)),58789,3186,1593,79762,Spring,PKR
1101,Jhawarian,Ormara Viewpoint,Balochistan,1292,25/05/2025,29/05/2025,4,36,Male,Pakistani,4,Leisure,Mid,105976,Flight,62285,39744,13856,221861,Spring,PKR
1102,Athmuqam,Keti Bandar,Sindh,1434,06/12/2026,09/12/2026,3,35,Female,Pakistani,3,Adventure,Mid,63534,Road (Coaster),254088,15057,7353,340032,Winter,PKR
1103,Hattian Bala,Makhdumpur,Punjab,464,02/10/2025,04/10/2025,2,64,Male,Pakistani,3,Leisure,Budget,13392,Road (Car (Small)),26072,6768,2748,48980,Autumn,PKR
1104,Bahawalnagar,Sudhan Gali,AJK,470,16/09/2025,23/09/2025,7,33,Female,Foreign,5,Adventure,Mid,295643,Road (Hiace),55748,60193,38050,449634,Autumn,PKR
1105,Bhit Shah,Minapin,Gilgit-Baltistan,1294,11/07/2025,17/07/2025,6,24,Female,Pakistani,6,Family,Budget,74034,Flight,102573,50400,18072,245079,Summer,PKR
1106,Duki,Vihari,Punjab,444,25/01/2026,27/01/2026,2,48,Female,Pakistani,2,Business,Budget,5376,Road (Hiace),45755,3860,2164,57155,Winter,PKR
1107,Harnai,Gaggo Mandi,Punjab,446,16/04/2025,18/04/2025,2,54,Male,Pakistani,4,Leisure,Budget,11376,Flight,23640,9176,5424,49616,Spring,PKR
1108,Ormara,Upper Dir,KPK,1539,15/08/2025,21/08/2025,6,65,Male,Pakistani,3,Leisure,Budget,36564,Flight,54524,25218,10962,127268,Summer,PKR
1109,Kabal,Tirah Valley,KPK,231,15/12/2025,20/12/2025,5,33,Female,Pakistani,1,Business,Mid,61990,Road (Car (Small)),11932,13940,8800,96662,Winter,PKR
1110,Karor Lal Esan,Neelum Valley,AJK,641,07/01/2025,17/01/2025,10,49,Male,Pakistani,3,Leisure,Budget,107740,Flight,20769,31020,26190,185719,Winter,PKR
1111,Kazi Ahmed,Laram Top,KPK,1332,24/07/2026,01/08/2026,8,62,Male,Pakistani,6,Leisure,Luxury,544776,Flight,90829,188496,90912,915013,Summer,PKR
1112,Leiah,Wah Cantonment,Punjab,382,22/07/2025,25/07/2025,3,26,Male,Pakistani,1,Family,Budget,6825,Road (Car (SUV)),32318,1896,1080,42119,Summer,PKR
1113,Kunri,Gandhara,KPK,1361,07/06/2025,15/06/2025,8,62,Male,Pakistani,4,Family,Budget,72544,Flight,75314,26720,21504,196082,Summer,PKR
1114,Kot Addu,Faiz Mahal Khairpur,Sindh,510,16/03/2025,19/03/2025,3,27,Male,Pakistani,4,Adventure,Mid,50166,Road (Hiace),46829,23340,18360,138695,Spring,PKR
1115,Nagar,K-2 Base Camp,Gilgit-Baltistan,235,09/08/2025,18/08/2025,9,46,Male,Pakistani,5,Family,Budget,109755,Road (Car (Small)),11046,63900,22905,207606,Summer,PKR
1116,Thall,Naltar Valley,Gilgit-Baltistan,600,29/04/2025,08/05/2025,9,62,Male,Pakistani,2,Leisure,Mid,101088,Road (Car (SUV)),42910,48402,27522,219922,Spring,PKR
1117,Larkana,Bannu,KPK,852,21/02/2025,27/02/2025,6,50,Female,Pakistani,1,Adventure,Mid,52104,Flight,9998,13164,8022,83288,Winter,PKR
1118,Lyari,Skardu,Gilgit-Baltistan,1739,15/02/2025,21/02/2025,6,45,Female,Pakistani,2,Adventure,Mid,52392,Flight,38456,30720,11412,132980,Winter,PKR
1119,Bagh,Okara,Punjab,430,17/04/2026,21/04/2026,4,28,Female,Pakistani,3,Leisure,Budget,16184,Road (Car (Small)),23197,7524,8352,55257,Spring,PKR
1120,Shorkot,Ushu Forest,KPK,577,15/10/2026,25/10/2026,10,55,Male,Pakistani,6,Adventure,Mid,437910,Road (Hiace),58269,102060,74940,673179,Autumn,PKR
1121,Diamer,Punial Valley,Gilgit-Baltistan,63,28/12/2025,03/01/2026,6,38,Male,Foreign,1,Business,Mid,69797,Road (Car (SUV)),5910,12573,6107,94387,Winter,PKR
1122,Gol Basti,Pindi Bhattian,Punjab,339,04/06/2025,06/06/2025,2,29,Female,Pakistani,5,Leisure,Mid,59046,Road (Car (Small)),15106,12410,11190,97752,Summer,PKR
1123,Toli Pir,Biafo Glacier,Gilgit-Baltistan,308,22/01/2026,28/01/2026,6,40,Female,Pakistani,1,Business,Mid,61518,Road (Car (Small)),15470,15510,5718,98216,Winter,PKR
1124,Moro,Bala Hissar (Gilgit),Gilgit-Baltistan,1434,14/01/2026,21/01/2026,7,60,Male,Pakistani,3,Adventure,Mid,155036,Flight,56141,33285,28665,273127,Winter,PKR
1125,Mianwali,Gandogar,KPK,294,25/02/2026,03/03/2026,6,56,Female,Pakistani,4,Business,Mid,97668,Road (Car (SUV)),19422,66672,38328,222090,Winter,PKR
1126,Muzaffargarh,Taunsa,Punjab,119,16/09/2025,21/09/2025,5,51,Male,Pakistani,5,Leisure,Budget,52515,Road (Coaster),19711,21600,15725,109551,Autumn,PKR
1127,Mastung,Karachi Zoo,Sindh,590,26/06/2026,29/06/2026,3,59,Male,Pakistani,3,Adventure,Budget,22608,Flight,23435,9396,7704,63143,Summer,PKR
1128,Alipur,Lakki Marwat,KPK,432,17/11/2026,27/11/2026,10,60,Female,Pakistani,4,Business,Budget,79880,Road (Hiace),45508,49160,31480,206028,Autumn,PKR
1129,Risalpur,Chipursan Valley,Gilgit-Baltistan,403,15/09/2025,22/09/2025,7,23,Male,Pakistani,4,Business,Luxury,486850,Road (Hiace),42625,96348,62328,688151,Autumn,PKR
1130,Gujrat,Dheerkot,AJK,163,23/11/2026,29/11/2026,6,41,Male,Pakistani,6,Adventure,Budget,55710,Road (Hiace),15345,53424,15948,140427,Autumn,PKR
1131,Chhor,Talash,KPK,1281,02/06/2026,11/06/2026,9,19,Female,Pakistani,6,Leisure,Mid,338985,Flight,110188,136350,71874,657397,Summer,PKR
1132,Nankana Sahib,Khunjerab Pass,Gilgit-Baltistan,736,05/03/2025,15/03/2025,10,61,Female,Pakistani,1,Business,Mid,84710,Flight,8521,20960,10440,124631,Spring,PKR
1133,Jhol,Hujra Shah Muqeem,Punjab,793,25/08/2026,29/08/2026,4,38,Female,Pakistani,4,Adventure,Luxury,225632,Flight,41107,38544,22144,327427,Summer,PKR
1134,Panjgur,Gupis Valley,Gilgit-Baltistan,1606,12/07/2026,17/07/2026,5,21,Female,Pakistani,2,Leisure,Mid,48105,Flight,42136,25080,10210,125531,Summer,PKR
1135,Jhelum,Turtle Beach,Sindh,1526,20/03/2025,22/03/2025,2,23,Female,Pakistani,5,Family,Mid,58092,Flight,96156,21970,8970,185188,Spring,PKR
1136,Tank,Lal Shahbaz Qalandar Shrine,Sindh,956,11/01/2025,13/01/2025,2,29,Male,Pakistani,1,Leisure,Mid,20798,Flight,12380,3258,2724,39160,Winter,PKR
1137,Tando Allahyar,Jiwani Beach,Balochistan,895,29/04/2026,03/05/2026,4,58,Female,Pakistani,3,Business,Luxury,175376,Road (Car (Small)),47890,53592,34608,311466,Spring,PKR
1138,Dera Ismail Khan,Ratti Gali Lake,AJK,508,18/05/2025,25/05/2025,7,21,Male,Pakistani,5,Leisure,Luxury,823914,Flight,29497,139090,60270,1052771,Spring,PKR
1139,Bannu,Upper Kachura Lake,Gilgit-Baltistan,643,28/01/2025,04/02/2025,7,55,Male,Foreign,4,Adventure,Budget,57358,Flight,32760,32101,22345,144564,Winter,PKR
1140,Qambar,Aliabad,Gilgit-Baltistan,1264,20/03/2025,28/03/2025,8,23,Male,Pakistani,6,Business,Budget,124680,Flight,104556,58416,42288,329940,Spring,PKR
1141,Mirpur,Timargara (Lower Dir),KPK,258,01/09/2025,08/09/2025,7,49,Male,Pakistani,4,Leisure,Mid,123004,Flight,14044,48664,43792,229504,Autumn,PKR
1142,Jhang,Qissa Khwani Bazaar,KPK,430,26/02/2025,04/03/2025,6,51,Male,Pakistani,4,Family,Luxury,298752,Flight,21397,69864,54984,444997,Winter,PKR
1143,Korangi,Astore Valley,Gilgit-Baltistan,1904,13/04/2025,19/04/2025,6,29,Female,Pakistani,3,Business,Mid,176352,Flight,70660,42840,23778,313630,Spring,PKR
1144,Haroonabad,Khanpur,Punjab,313,11/03/2026,16/03/2026,5,53,Female,Pakistani,5,Adventure,Luxury,429315,Road (Car (Small)),14734,68500,44850,557399,Spring,PKR
1145,Nok Kundi,Birir Valley,KPK,1026,04/04/2026,13/04/2026,9,30,Male,Pakistani,2,Family,Luxury,353889,Flight,23888,60462,42012,480251,Spring,PKR
1146,Bhan,Astore Valley,Gilgit-Baltistan,1624,24/02/2025,01/03/2025,5,24,Female,Pakistani,4,Leisure,Mid,83890,Road (Car (Small)),76371,50780,23540,234581,Winter,PKR
1147,Kot Adu,Moola Chotok,Balochistan,742,19/09/2025,24/09/2025,5,55,Male,Pakistani,5,Family,Mid,175365,Road (Hiace),75209,54225,42250,347049,Autumn,PKR
1148,Astore,Kot Adu,Punjab,850,02/04/2025,07/04/2025,5,51,Male,Pakistani,5,Business,Mid,168240,Flight,50954,54350,29550,303094,Spring,PKR
1149,Yazman,Nanga Parbat Base Camp (Fairy Meadows),Gilgit-Baltistan,906,14/11/2025,23/11/2025,9,54,Female,Pakistani,2,Adventure,Budget,35217,Flight,25891,19818,14382,95308,Autumn,PKR
1150,Haripur,Biafo Glacier,Gilgit-Baltistan,395,22/02/2026,27/02/2026,5,57,Female,Pakistani,5,Family,Budget,52230,Road (Car (Small)),18129,31700,19775,121834,Winter,PKR
1151,Depalpur,Chunian,Punjab,93,17/06/2026,20/06/2026,3,56,Male,Pakistani,6,Business,Mid,92349,Road (Car (Small)),5009,24138,22914,144410,Summer,PKR
1152,Rawalpindi,Garelt,Gilgit-Baltistan,463,11/11/2026,19/11/2026,8,25,Male,Foreign,5,Family,Mid,349799,Road (Hiace),49425,84005,56672,539901,Autumn,PKR
1153,Kahror Pakka,Hunza Glacier,Gilgit-Baltistan,1034,10/08/2026,18/08/2026,8,42,Male,Pakistani,6,Leisure,Luxury,698352,Flight,76516,137328,127200,1039396,Summer,PKR
1154,Renala Khurd,Sialkot,Punjab,261,09/08/2026,13/08/2026,4,39,Female,Pakistani,3,Adventure,Mid,74120,Road (Hiace),26047,21048,9024,130239,Summer,PKR
1155,Jhelum,Depalpur,Punjab,333,05/05/2026,08/05/2026,3,32,Male,Pakistani,6,Family,Mid,82701,Flight,28624,22752,11808,145885,Spring,PKR
1156,Mingora,Bahawalnagar,Punjab,647,25/03/2025,27/03/2025,2,60,Male,Pakistani,3,Leisure,Budget,8540,Flight,25492,5904,3420,43356,Spring,PKR
1157,Toba Tek Singh,Chuprial,KPK,556,16/03/2025,25/03/2025,9,65,Male,Pakistani,4,Family,Mid,236826,Road (Coaster),86959,92448,36000,452233,Spring,PKR
1158,Khanewal,Kargah Buddha,Gilgit-Baltistan,853,15/10/2026,21/10/2026,6,35,Male,Pakistani,4,Family,Mid,123672,Flight,48431,55200,23184,250487,Autumn,PKR
1159,Vihari,Mangla Dam,AJK,475,19/11/2026,27/11/2026,8,26,Female,Pakistani,3,Leisure,Mid,140064,Road (Coaster),83247,60168,37008,320487,Autumn,PKR
1160,Pindi Bhattian,Hopar Valley,Gilgit-Baltistan,600,10/03/2025,19/03/2025,9,34,Male,Pakistani,5,Business,Budget,102573,Flight,33363,45135,22635,203706,Spring,PKR
1161,Kallar Kahar,Pasni Fish Harbor,Balochistan,1693,02/01/2026,06/01/2026,4,63,Male,Pakistani,3,Family,Budget,45848,Flight,70386,11772,8844,136850,Winter,PKR
1162,Chowk Azam,Mailsi,Punjab,117,10/09/2026,12/09/2026,2,28,Male,Pakistani,1,Adventure,Mid,15898,Road (Hiace),12908,4088,2250,35144,Autumn,PKR
1163,Usta Muhammad,Chappar Gali,KPK,1122,05/05/2025,13/05/2025,8,30,Male,Pakistani,1,Business,Mid,102832,Road (Hiace),132900,12800,12344,260876,Spring,PKR
1164,Mithi,Mansehra,KPK,1344,18/03/2026,23/03/2026,5,35,Male,Pakistani,2,Family,Budget,20120,Flight,30078,9040,6030,65268,Spring,PKR
1165,Gaggo Mandi,Karoonjhar Mountains,Sindh,923,15/11/2026,20/11/2026,5,50,Male,Pakistani,1,Leisure,Luxury,105115,Road (Car (SUV)),69676,21490,12030,208311,Autumn,PKR
1166,Kalat,Hunza Valley,Gilgit-Baltistan,1518,25/06/2025,03/07/2025,8,54,Female,Pakistani,6,Family,Mid,327024,Flight,112335,131616,59904,630879,Summer,PKR
1167,Hub,Kargah Buddha,Gilgit-Baltistan,1528,12/06/2026,17/06/2026,5,29,Female,Foreign,3,Family,Budget,46073,Flight,72204,24330,13762,156369,Summer,PKR
1168,Pasni,Rama Lake,Gilgit-Baltistan,1975,17/02/2026,25/02/2026,8,61,Male,Pakistani,4,Leisure,Mid,193072,Flight,107499,63456,55072,419099,Winter,PKR
1169,Pattoki,Narowal,Punjab,208,09/01/2026,11/01/2026,2,18,Male,Pakistani,2,Leisure,Mid,14800,Road (Hiace),19943,5536,3316,43595,Winter,PKR
1170,Charsadda,Quaid e Azam Residency Ziarat,Balochistan,715,16/01/2025,20/01/2025,4,39,Female,Pakistani,1,Business,Mid,32924,Road (Car (SUV)),58308,6196,5340,102768,Winter,PKR
1171,Bannu,Rojhan,Punjab,669,25/07/2026,27/07/2026,2,55,Female,Foreign,6,Business,Budget,23427,Road (Car (Small)),36274,16504,6393,82598,Summer,PKR
1172,North Nazimabad,Punial Valley,Gilgit-Baltistan,1826,10/12/2026,19/12/2026,9,64,Male,Pakistani,5,Family,Luxury,815859,Flight,102876,219510,156780,1295025,Winter,PKR
1173,Ghizer,Lower Dir,KPK,229,17/09/2026,27/09/2026,10,50,Female,Pakistani,1,Leisure,Budget,48500,Road (Car (Small)),12246,14410,6790,81946,Autumn,PKR
1174,Thari Mirwah,Manchar Lake,Sindh,229,12/07/2026,15/07/2026,3,43,Male,Pakistani,4,Adventure,Mid,74274,Road (Coaster),36869,21384,9912,142439,Summer,PKR
1175,Gupis,Pir Mahal,Punjab,625,22/05/2026,27/05/2026,5,57,Female,Pakistani,4,Adventure,Luxury,244140,Flight,34609,61860,44700,385309,Spring,PKR
1176,Pind Dadan Khan,Miandam,KPK,306,20/07/2025,29/07/2025,9,49,Female,Pakistani,6,Business,Mid,216135,Flight,23961,125064,78732,443892,Summer,PKR
1177,Lodhran,Danyore Rock Carvings,Gilgit-Baltistan,962,11/11/2026,16/11/2026,5,41,Female,Pakistani,4,Business,Mid,126620,Flight,43884,31560,16620,218684,Autumn,PKR
1178,Bela,Juniper Forest Ziarat,Balochistan,516,19/01/2026,23/01/2026,4,35,Male,Pakistani,5,Family,Mid,122736,Flight,35435,36020,18860,213051,Winter,PKR
1179,Palandri,Khanpur,Punjab,694,01/12/2026,04/12/2026,3,52,Female,Pakistani,3,Family,Luxury,111840,Flight,29242,35766,14382,191230,Winter,PKR
1180,Usta Muhammad,Kahror Pakka,Punjab,529,19/02/2026,23/02/2026,4,28,Male,Pakistani,6,Business,Budget,42708,Road (Coaster),87815,22680,16056,169259,Winter,PKR
1181,Kohat,Khunjerab Pass,Gilgit-Baltistan,547,25/06/2025,04/07/2025,9,43,Female,Pakistani,6,Adventure,Mid,350460,Flight,47159,121878,48816,568313,Summer,PKR
1182,Killa Saifullah,Ayun Valley,KPK,823,10/01/2026,17/01/2026,7,19,Female,Pakistani,5,Business,Luxury,685209,Flight,51667,100240,96215,933331,Winter,PKR
1183,Digri,Chagai Hills,Balochistan,769,08/01/2025,11/01/2025,3,30,Male,Pakistani,5,Leisure,Luxury,313083,Flight,53048,62820,38715,467666,Winter,PKR
1184,Shigar,Kasur,Punjab,590,23/07/2025,25/07/2025,2,51,Female,Pakistani,5,Adventure,Budget,12462,Flight,35126,6880,4860,59328,Summer,PKR
1185,Malir,Talagang,Punjab,1145,01/12/2025,03/12/2025,2,38,Male,Pakistani,2,Adventure,Mid,15512,Flight,31705,8148,4116,59481,Winter,PKR
1186,Kharan,Phander Valley,Gilgit-Baltistan,1147,04/04/2026,12/04/2026,8,38,Male,Pakistani,5,Business,Luxury,645696,Flight,78299,129840,83200,937035,Spring,PKR
1187,Hafizabad,Hangu,KPK,385,13/04/2026,19/04/2026,6,42,Female,Pakistani,1,Family,Mid,77736,Road (Hiace),40277,10614,9450,138077,Spring,PKR
1188,Ziarat,Oshikhandass,Gilgit-Baltistan,1052,16/02/2026,23/02/2026,7,28,Male,Pakistani,5,Family,Mid,223797,Flight,71091,94325,46130,435343,Winter,PKR
1189,Lasbela,Lower Kachura Lake,Gilgit-Baltistan,1591,21/06/2025,28/06/2025,7,26,Female,Foreign,3,Business,Luxury,493738,Flight,77094,99581,71299,741712,Summer,PKR
1190,Gupis,Jhawarian,Punjab,482,08/11/2025,11/11/2025,3,57,Male,Pakistani,6,Family,Luxury,138744,Road (Car (Small)),22706,44604,21816,227870,Autumn,PKR
1191,Bhimber,Sahiwal,Punjab,299,16/03/2025,19/03/2025,3,33,Male,Pakistani,1,Business,Luxury,48402,Road (Coaster),47936,7878,3633,107849,Spring,PKR
1192,Bagh,Lower Kachura Lake,Gilgit-Baltistan,257,06/07/2025,16/07/2025,10,61,Male,Pakistani,3,Business,Luxury,783920,Road (Coaster),45329,131070,68700,1029019,Summer,PKR
1193,Jahanian,Ratti Gali Lake,AJK,595,28/03/2026,07/04/2026,10,64,Male,Pakistani,4,Adventure,Mid,181240,Flight,32033,90000,66640,369913,Spring,PKR
1194,Karor Lal Esan,Mohatta Palace,Sindh,1048,03/08/2025,07/08/2025,4,22,Female,Pakistani,2,Leisure,Mid,34236,Flight,23717,12224,7432,77609,Summer,PKR
1195,Kel,Alipur,Punjab,674,02/10/2026,06/10/2026,4,23,Male,Pakistani,6,Leisure,Luxury,282144,Flight,46006,64824,49200,442174,Autumn,PKR
1196,Nok Kundi,Hasilpur,Punjab,970,30/06/2026,02/07/2026,2,28,Female,Pakistani,4,Leisure,Mid,29796,Road (Coaster),140828,16040,6280,192944,Summer,PKR
1197,Pithoro,Dunyapur,Punjab,649,11/05/2026,15/05/2026,4,26,Male,Pakistani,5,Leisure,Mid,132804,Road (Coaster),102077,25840,22460,283181,Spring,PKR
1198,Jacobabad,Pakka Qila Hyderabad,Sindh,417,24/02/2025,01/03/2025,5,53,Male,Foreign,4,Leisure,Mid,97581,Road (Car (SUV)),36474,35364,29327,198746,Winter,PKR
1199,Toba,Depalpur,Punjab,930,30/11/2025,02/12/2025,2,29,Male,Pakistani,5,Adventure,Mid,44412,Road (Hiace),93195,21780,7030,166417,Autumn,PKR
1200,Bhimber,Pir Chinasi,AJK,183,18/07/2026,27/07/2026,9,27,Male,Pakistani,3,Business,Mid,180054,Road (Car (SUV)),15223,72414,45252,312943,Summer,PKR
1201,Bhera,Borith Lake,Gilgit-Baltistan,567,20/04/2026,30/04/2026,10,65,Female,Pakistani,2,Adventure,Luxury,314970,Flight,13605,76240,68580,473395,Spring,PKR
1202,Ghotki,Hujra Shah Muqeem,Punjab,654,18/09/2026,23/09/2026,5,63,Female,Pakistani,2,Family,Mid,53845,Flight,14947,16490,6020,91302,Autumn,PKR
1203,Daska,Hoper Glacier,Gilgit-Baltistan,460,10/09/2025,17/09/2025,7,60,Female,Pakistani,5,Family,Mid,204855,Road (Hiace),49362,87640,53340,395197,Autumn,PKR
1204,Kalat,Okara,Punjab,757,29/01/2025,01/02/2025,3,61,Female,Pakistani,2,Business,Mid,35844,Flight,17295,12498,3930,69567,Winter,PKR
1205,Pakpattan,Hammerhead Gwadar,Balochistan,1363,14/09/2026,19/09/2026,5,61,Male,Pakistani,5,Family,Mid,130875,Flight,78132,54050,37075,300132,Autumn,PKR
1206,Palandri,Mud Volcano Hingol,Balochistan,1466,11/02/2025,13/02/2025,2,30,Male,Pakistani,3,Adventure,Luxury,82748,Road (Hiace),139807,25008,15432,262995,Winter,PKR
1207,Lalian,Bahawalpur,Punjab,438,24/01/2025,26/01/2025,2,27,Female,Pakistani,2,Business,Mid,13514,Road (Car (SUV)),35631,6040,3212,58397,Winter,PKR
1208,Faisalabad,Sara-i-Naurang,KPK,355,26/03/2025,03/04/2025,8,31,Female,Pakistani,4,Leisure,Mid,143088,Flight,16107,57504,38624,255323,Spring,PKR
1209,Raiwind,Gulapur,Gilgit-Baltistan,487,01/05/2025,07/05/2025,6,61,Female,Pakistani,4,Family,Mid,109716,Road (Car (Small)),23300,38616,22008,193640,Spring,PKR
1210,Ahmadpur East,Chipursan Valley,Gilgit-Baltistan,944,12/02/2025,18/02/2025,6,25,Female,Foreign,1,Family,Budget,30712,Road (Coaster),175861,10300,5439,222312,Winter,PKR
1211,Hujra Shah Muqeem,Chikkar,AJK,385,17/07/2025,26/07/2025,9,45,Male,Pakistani,2,Leisure,Mid,105570,Road (Car (SUV)),28188,38106,28710,200574,Summer,PKR
1212,Mirpur Mathelo,Lower Kachura Lake,Gilgit-Baltistan,996,01/12/2026,10/12/2026,9,43,Female,Pakistani,2,Business,Luxury,294327,Flight,24206,60318,32526,411377,Winter,PKR
1213,Sheikhupura,Nathia Gali,KPK,359,18/07/2025,27/07/2025,9,62,Male,Pakistani,6,Family,Luxury,652401,Road (Hiace),36709,151470,170046,1010626,Summer,PKR
1214,Sheikhupura,Naran,KPK,468,10/04/2026,16/04/2026,6,25,Male,Pakistani,2,Family,Luxury,196218,Flight,13222,51612,27516,288568,Spring,PKR
1215,Mamu Kanjan,Mirpur,AJK,365,18/03/2025,25/03/2025,7,65,Female,Pakistani,1,Adventure,Luxury,166341,Flight,4154,31710,12264,214469,Spring,PKR
1216,Larkana,Tatta Pani,AJK,1123,03/03/2025,10/03/2025,7,28,Female,Pakistani,1,Family,Mid,60893,Flight,12218,16681,8652,98444,Spring,PKR
1217,Hyderabad,Ghoragali,KPK,1137,28/06/2026,05/07/2026,7,59,Male,Pakistani,3,Business,Luxury,380744,Flight,47478,59451,41034,528707,Summer,PKR
1218,Bhakkar,Quaid e Azam Residency Ziarat,Balochistan,363,20/02/2026,24/02/2026,4,49,Female,Foreign,6,Family,Mid,193576,Flight,32387,58483,41378,325824,Winter,PKR
1219,Sujawal,Quaid e Azam Residency Ziarat,Balochistan,717,10/09/2025,13/09/2025,3,34,Female,Pakistani,2,Business,Mid,21066,Flight,19457,9756,5070,55349,Autumn,PKR
1220,Ziarat,Quaid-e-Azam Mausoleum,Sindh,646,28/01/2025,31/01/2025,3,65,Male,Pakistani,2,Leisure,Mid,27786,Flight,16354,9504,7800,61444,Winter,PKR
1221,Mastung,Gujrat,Punjab,784,04/04/2026,08/04/2026,4,24,Male,Pakistani,1,Leisure,Luxury,106156,Flight,9902,9296,8596,133950,Spring,PKR
1222,Lakki Marwat,Oshikhandass,Gilgit-Baltistan,571,25/02/2025,03/03/2025,6,47,Female,Pakistani,3,Leisure,Luxury,377136,Flight,20199,77022,62748,537105,Winter,PKR
1223,Kunri,Bahawalnagar,Punjab,696,29/06/2025,04/07/2025,5,25,Female,Pakistani,1,Leisure,Mid,37440,Road (Hiace),80029,7785,5720,130974,Summer,PKR
1224,Ghanche,Kasur,Punjab,532,29/07/2025,31/07/2025,2,25,Female,Pakistani,3,Adventure,Luxury,112668,Flight,19549,23916,16746,172879,Summer,PKR
1225,Shabqadar,Sonmiani Beach,Sindh,1544,08/02/2026,13/02/2026,5,45,Male,Pakistani,3,Leisure,Mid,138050,Road (Car (Small)),87109,25245,22740,273144,Winter,PKR
1226,Lower Dir,Leepa Valley,AJK,198,04/10/2026,11/10/2026,7,55,Male,Foreign,1,Leisure,Budget,42651,Road (Hiace),25846,10225,5841,84563,Autumn,PKR
1227,Mirpur Khas,Toli Pir,AJK,1253,11/03/2025,20/03/2025,9,63,Female,Foreign,6,Business,Mid,321525,Road (Car (Small)),64619,122167,90136,598447,Spring,PKR
1228,Yasin,Ayubia,KPK,309,01/11/2025,10/11/2025,9,59,Female,Pakistani,4,Family,Mid,239544,Road (Coaster),50090,58788,36108,384530,Autumn,PKR
1229,Peshawar,Manchar Lake,Sindh,1137,15/04/2025,19/04/2025,4,44,Male,Pakistani,2,Adventure,Mid,29608,Flight,26591,19144,10328,85671,Spring,PKR
