Trip ID,Destination,Region,Start date,End date,Duration (days),Traveler age,Traveler gender,Traveler nationality,Group size,Trip type,Accommodation type,Accommodation cost,Transportation type,Transportation cost,Food cost,Activities cost,Total cost,Season,Currency
1209,Spin Khwar,KPK,2026-12-18,2026-12-28,10,28,Female,Pakistani,5,Leisure,Luxury,223870,Road,36563,207750,34130,502313,Winter,PKR
1210,Chappar Gali,KPK,2026-06-20,2026-06-30,10,32,Male,Foreign,5,Business,Luxury,320140,Road,7030,334500,31300,692970,Summer,PKR
1211,Empress Market,Sindh,2025-07-12,2025-07-16,4,34,Male,Pakistani,3,Leisure,Mid,43216,Road,2017,38760,6372,90365,Summer,PKR
1212,Kutton (Jagged),AJK,2026-11-15,2026-11-19,4,32,Female,Pakistani,3,Business,Budget,14656,Road,34848,24672,3024,77200,Autumn,PKR
1213,Tilla Jogian,Punjab,2025-11-12,2025-11-15,3,44,Male,Foreign,4,Business,Luxury,58500,Road,5120,50676,7908,122204,Autumn,PKR
1214,Jaranwala,Punjab,2026-02-10,2026-02-14,4,40,Male,Foreign,2,Family,Mid,46208,Flight,33582,18240,6312,104342,Winter,PKR
1215,Dudipatsar Lake,KPK,2026-12-03,2026-12-08,5,22,Male,Pakistani,3,Business,Mid,71430,Road,8704,58680,6245,145059,Winter,PKR
1216,Quaid-e-Azam Mausoleum,Sindh,2025-05-24,2025-05-27,3,53,Female,Pakistani,1,Leisure,Mid,34527,Road,28272,11115,5022,78936,Spring,PKR
1217,Khaplu Fort,Gilgit-Baltistan,2025-07-01,2025-07-06,5,18,Female,Foreign,1,Family,Mid,56395,Road,9135,11015,7095,83640,Summer,PKR
1218,Paradise Point,Sindh,2025-11-30,2025-12-03,3,46,Female,Foreign,2,Business,Budget,19320,Road,15552,12498,1836,49206,Autumn,PKR
1219,Lulusar Lake,KPK,2026-05-17,2026-05-24,7,41,Male,Pakistani,5,Adventure,Budget,32354,Road,8977,50820,5103,97254,Spring,PKR
1220,Spin Khwar,KPK,2026-04-24,2026-05-03,9,37,Male,Pakistani,5,Leisure,Luxury,227736,Road,10267,193095,19782,450880,Spring,PKR
1221,Lal Shahbaz Qalandar Shrine,Sindh,2026-03-04,2026-03-09,5,18,Female,Pakistani,5,Business,Mid,44660,Road,23200,92100,5040,165000,Spring,PKR
1222,Satpara Lake,Gilgit-Baltistan,2026-02-03,2026-02-12,9,37,Male,Pakistani,2,Leisure,Luxury,269757,Road,13110,84996,26028,393891,Winter,PKR
1223,Uch Sharif,Punjab,2025-10-04,2025-10-12,8,60,Male,Pakistani,1,Leisure,Budget,21680,Road,23932,12408,7200,65220,Autumn,PKR
1224,Laram Top,KPK,2025-04-26,2025-04-30,4,19,Male,Foreign,5,Leisure,Budget,13892,Flight,167885,31640,3292,216709,Spring,PKR
1225,Charsadda,KPK,2026-07-18,2026-07-20,2,20,Female,Pakistani,3,Adventure,Luxury,51546,Road,19942,29208,6532,107228,Summer,PKR
1226,Quaid-e-Azam Mausoleum,Sindh,2026-05-05,2026-05-07,2,40,Female,Foreign,3,Business,Budget,9148,Road,15321,11670,2028,38167,Spring,PKR
1227,Sethi House,KPK,2026-06-22,2026-06-24,2,32,Female,Foreign,3,Adventure,Luxury,58060,Road,31108,36114,9200,134482,Summer,PKR
1228,Jhang,Punjab,2026-11-10,2026-11-13,3,54,Male,Pakistani,2,Business,Luxury,81324,Road,11320,25734,9285,127663,Autumn,PKR
1229,Nowshera,KPK,2025-09-24,2025-09-28,4,51,Female,Foreign,3,Business,Luxury,153580,Road,13507,64332,17676,249095,Autumn,PKR
1230,Kahror Pakka,Punjab,2025-12-10,2025-12-19,9,35,Male,Foreign,2,Leisure,Mid,95454,Road,23324,41832,16083,176693,Winter,PKR
1231,Talagang,Punjab,2026-12-27,2027-01-05,9,24,Female,Foreign,3,Family,Mid,80757,Road,8121,55539,8883,153300,Winter,PKR
1232,Ghizer Valley,Gilgit-Baltistan,2026-10-24,2026-10-26,2,48,Male,Pakistani,2,Business,Luxury,58134,Road,19517,19108,5186,101945,Autumn,PKR
1233,Mankial,KPK,2026-09-05,2026-09-15,10,56,Female,Pakistani,1,Business,Budget,35720,Road,13494,12360,11480,73054,Autumn,PKR
1234,Biang Gali,KPK,2026-08-11,2026-08-18,7,55,Female,Foreign,5,Business,Luxury,241577,Road,19824,198660,34069,494130,Summer,PKR
1235,Kartarpur Corridor,Punjab,2025-06-29,2025-07-02,3,41,Female,Foreign,2,Leisure,Budget,8439,Road,14980,6030,2340,31789,Summer,PKR
1236,Karak,KPK,2026-08-31,2026-09-05,5,32,Female,Pakistani,2,Family,Budget,16180,Road,17094,18130,3975,55379,Summer,PKR
1237,Ghulkin Glacier,Gilgit-Baltistan,2025-11-29,2025-12-04,5,56,Female,Pakistani,2,Family,Mid,44775,Road,17292,38760,8110,108937,Autumn,PKR
1238,Balakot,KPK,2026-06-03,2026-06-07,4,18,Female,Pakistani,1,Adventure,Mid,38184,Road,42624,12528,4468,97804,Summer,PKR
1239,Hattian Bala,AJK,2025-02-09,2025-02-19,10,32,Male,Foreign,4,Leisure,Mid,149990,Flight,66192,137680,18780,372642,Winter,PKR
1240,Sadiq Garh Palace,Punjab,2026-04-10,2026-04-12,2,40,Male,Pakistani,5,Leisure,Luxury,40536,Road,23443,45510,4894,114383,Spring,PKR
1241,Bubind,Gilgit-Baltistan,2026-11-27,2026-12-01,4,22,Female,Pakistani,4,Adventure,Budget,20592,Flight,89972,34480,4288,149332,Autumn,PKR
1242,Singal,Gilgit-Baltistan,2026-02-04,2026-02-08,4,44,Female,Foreign,2,Leisure,Budget,14412,Road,55044,13912,2152,85520,Winter,PKR
1243,Bala Hissar (Peshawar),KPK,2026-03-13,2026-03-20,7,23,Female,Pakistani,5,Business,Budget,35490,Road,5544,46620,5957,93611,Spring,PKR
1244,Kharan Desert,Balochistan,2025-10-26,2025-11-04,9,60,Male,Pakistani,4,Leisure,Luxury,178695,Road,14400,173232,22176,388503,Autumn,PKR
1245,Dera Ismail Khan,KPK,2025-04-12,2025-04-20,8,42,Male,Pakistani,5,Adventure,Mid,103472,Road,11440,94520,14064,223496,Spring,PKR
1246,Bannu,KPK,2025-05-02,2025-05-07,5,35,Female,Pakistani,1,Leisure,Mid,54710,Road,37944,18530,7440,118624,Spring,PKR
1247,Jahaz Banda,KPK,2026-09-29,2026-10-07,8,56,Male,Foreign,5,Family,Budget,39808,Road,3161,63960,7296,114225,Autumn,PKR
1248,Spin Khwar,KPK,2026-02-22,2026-02-25,3,29,Female,Foreign,2,Business,Budget,10329,Road,20896,8718,2400,42343,Winter,PKR
1249,Biang Gali,KPK,2025-08-21,2025-08-25,4,58,Female,Pakistani,3,Family,Mid,54728,Road,4508,26856,8000,94092,Summer,PKR
1250,Faiz Mahal Khairpur,Sindh,2026-02-28,2026-03-04,4,42,Female,Pakistani,1,Business,Budget,22708,Road,14088,5216,2808,44820,Winter,PKR
1251,Gor Khuttree,KPK,2026-06-07,2026-06-12,5,27,Male,Foreign,4,Business,Luxury,152920,Road,7123,116280,10100,286423,Summer,PKR
1252,Hill Park Karachi,Sindh,2025-03-03,2025-03-07,4,41,Male,Foreign,4,Leisure,Mid,42792,Road,3196,62624,7280,115892,Spring,PKR
1253,Spin Khwar,KPK,2025-06-02,2025-06-06,4,21,Female,Pakistani,3,Leisure,Budget,16984,Flight,62007,20964,2932,102887,Summer,PKR
1254,Muzaffargarh,Punjab,2026-05-24,2026-05-30,6,22,Male,Pakistani,2,Business,Mid,42588,Road,5760,31164,9216,88728,Spring,PKR
1255,Ghulkin Glacier,Gilgit-Baltistan,2025-09-12,2025-09-19,7,60,Male,Pakistani,4,Family,Budget,37093,Road,16376,34020,5103,92592,Autumn,PKR
1256,Timargara (Lower Dir),KPK,2026-03-03,2026-03-06,3,32,Male,Foreign,5,Business,Budget,14541,Road,7985,22050,1872,46448,Spring,PKR
1257,Sargodha,Punjab,2026-02-07,2026-02-17,10,32,Female,Pakistani,1,Business,Mid,115650,Road,20148,23870,8710,168378,Winter,PKR
1258,Sudhan Gali,AJK,2025-12-27,2025-12-31,4,51,Male,Pakistani,2,Leisure,Mid,39436,Road,9100,24768,4568,77872,Winter,PKR
1259,Toba Tek Singh,Punjab,2025-04-09,2025-04-18,9,18,Female,Foreign,1,Business,Mid,91755,Road,25120,21744,13455,152074,Spring,PKR
1260,Bumburet Valley,KPK,2025-11-27,2025-11-30,3,47,Female,Foreign,4,Business,Mid,44229,Flight,74728,29256,3009,151222,Autumn,PKR
1261,Kel,AJK,2026-01-21,2026-01-28,7,52,Male,Foreign,2,Business,Budget,37394,Road,50520,28602,4284,120800,Winter,PKR
1262,Snow Lake (Hispar),Gilgit-Baltistan,2026-01-08,2026-01-15,7,59,Female,Pakistani,4,Leisure,Mid,62930,Road,27880,99792,10388,200990,Winter,PKR
1263,Rohtas Fort,Punjab,2025-09-09,2025-09-17,8,44,Female,Pakistani,3,Adventure,Mid,75296,Road,6873,54264,12376,148809,Autumn,PKR
1264,Thandiani,KPK,2026-03-28,2026-04-07,10,43,Female,Foreign,1,Family,Mid,133440,Road,17556,31170,10300,192466,Spring,PKR
1265,Jahaz Banda,KPK,2025-08-21,2025-08-24,3,42,Male,Pakistani,2,Business,Budget,10344,Road,4212,9762,3570,27888,Summer,PKR
1266,Peshawar,KPK,2025-05-14,2025-05-20,6,32,Female,Pakistani,3,Leisure,Mid,67854,Flight,69270,39312,11508,187944,Spring,PKR
1267,Port Grand,Sindh,2026-10-30,2026-11-01,2,40,Male,Pakistani,3,Adventure,Mid,14662,Flight,69060,22626,3776,110124,Autumn,PKR
1268,Rana Resort,Punjab,2026-07-13,2026-07-21,8,34,Male,Pakistani,3,Adventure,Mid,85448,Road,19960,58056,11000,174464,Summer,PKR
1269,Empress Market,Sindh,2026-04-25,2026-04-29,4,23,Female,Foreign,5,Leisure,Mid,53628,Flight,148000,51900,8176,261704,Spring,PKR
1270,Talagang,Punjab,2025-02-26,2025-03-06,8,33,Male,Foreign,2,Leisure,Budget,21624,Flight,56992,28768,4496,111880,Winter,PKR
1271,Karimabad,Gilgit-Baltistan,2025-09-24,2025-09-26,2,60,Male,Foreign,5,Adventure,Mid,24592,Road,12272,32070,4434,73368,Autumn,PKR
1272,Dudipatsar Lake,KPK,2026-09-25,2026-10-04,9,18,Male,Foreign,3,Leisure,Budget,41895,Road,3072,45603,9558,100128,Autumn,PKR
1273,Neelum Valley,AJK,2025-09-20,2025-09-28,8,30,Female,Foreign,1,Family,Luxury,261832,Road,28548,34632,26304,351316,Autumn,PKR
1274,Derawar Fort,Punjab,2025-09-01,2025-09-04,3,35,Female,Pakistani,3,Adventure,Mid,18927,Road,13041,19467,3681,55116,Autumn,PKR
1275,Tomb of Shah Rukn-e-Alam,Punjab,2025-10-01,2025-10-03,2,57,Female,Foreign,1,Family,Luxury,37768,Road,2205,6060,3024,49057,Autumn,PKR
1276,Arif Wala,Punjab,2025-03-08,2025-03-16,8,56,Female,Foreign,1,Family,Mid,82672,Road,18909,15488,12376,129445,Spring,PKR
1277,Lulusar Lake,KPK,2025-06-12,2025-06-22,10,18,Female,Pakistani,3,Business,Budget,37160,Road,41833,45540,11340,135873,Summer,PKR
1278,Birir Valley,KPK,2025-05-09,2025-05-19,10,23,Female,Pakistani,2,Adventure,Mid,124450,Road,36864,60640,23940,245894,Spring,PKR
1279,Jallo Park,Punjab,2026-07-21,2026-07-24,3,59,Male,Foreign,5,Business,Mid,24264,Road,20505,35835,5451,86055,Summer,PKR
1280,Diamer Valley,Gilgit-Baltistan,2026-10-08,2026-10-10,2,55,Male,Foreign,3,Leisure,Mid,27116,Road,27460,18630,4212,77418,Autumn,PKR
1281,Mirpur,AJK,2026-02-08,2026-02-11,3,33,Female,Pakistani,4,Leisure,Budget,11622,Road,9860,23076,1824,46382,Winter,PKR
1282,Bubind,Gilgit-Baltistan,2026-01-12,2026-01-14,2,50,Female,Foreign,4,Business,Mid,21238,Road,21739,20800,4128,67905,Winter,PKR
1283,Virawah,Sindh,2025-05-31,2025-06-04,4,44,Female,Foreign,2,Leisure,Mid,45720,Flight,51378,25840,5492,128430,Spring,PKR
1284,Katora Lake,KPK,2025-09-02,2025-09-05,3,23,Female,Pakistani,3,Business,Luxury,98565,Road,2350,47556,14496,162967,Autumn,PKR
1285,Singal,Gilgit-Baltistan,2025-06-05,2025-06-11,6,35,Female,Foreign,5,Family,Luxury,193908,Road,21537,146160,29238,390843,Summer,PKR
1286,Dheerkot,AJK,2025-08-09,2025-08-12,3,20,Female,Pakistani,2,Adventure,Luxury,110781,Road,22301,24750,12936,170768,Summer,PKR
1287,Soan Valley,Punjab,2026-12-20,2026-12-22,2,28,Female,Foreign,1,Leisure,Luxury,30266,Road,21816,10954,3422,66458,Winter,PKR
1288,Rama Lake,Gilgit-Baltistan,2025-08-15,2025-08-22,7,24,Male,Foreign,4,Family,Mid,59003,Road,37632,83832,8239,188706,Summer,PKR
1289,Moola Chotok,Balochistan,2026-01-29,2026-02-02,4,37,Male,Pakistani,5,Business,Luxury,88312,Road,27289,85900,11452,212953,Winter,PKR
1290,Kel,AJK,2025-07-15,2025-07-20,5,28,Female,Foreign,4,Business,Budget,25870,Road,2832,24980,4395,58077,Summer,PKR
1291,Tilla Jogian,Punjab,2025-03-02,2025-03-06,4,42,Female,Pakistani,3,Family,Mid,40752,Road,22534,28872,7012,99170,Spring,PKR
1292,Dunga Gali,KPK,2026-07-04,2026-07-09,5,60,Male,Pakistani,4,Adventure,Mid,52700,Flight,120144,41060,7075,220979,Summer,PKR
1293,Bhurban,Punjab,2026-11-15,2026-11-17,2,49,Male,Foreign,2,Adventure,Luxury,52316,Road,32116,15228,4304,103964,Autumn,PKR
1294,K-2 Base Camp,Gilgit-Baltistan,2026-09-22,2026-09-29,7,56,Male,Pakistani,2,Family,Mid,101745,Road,20120,31262,11578,164705,Autumn,PKR
1295,Chagai Hills,Balochistan,2026-09-02,2026-09-06,4,46,Male,Foreign,4,Business,Luxury,116004,Flight,168108,97312,9132,390556,Autumn,PKR
1296,Bahrain,KPK,2025-09-05,2025-09-07,2,59,Female,Pakistani,3,Family,Budget,7516,Road,22580,10164,2008,42268,Autumn,PKR
1297,Musk Deer National Park,KPK,2025-01-06,2025-01-12,6,53,Female,Pakistani,1,Family,Budget,26706,Flight,18538,7284,5172,57700,Winter,PKR
1298,Chakwal,Punjab,2026-09-07,2026-09-10,3,54,Male,Foreign,1,Leisure,Luxury,80352,Road,12098,14886,9798,117134,Autumn,PKR
1299,Cholistan Forts,Punjab,2025-12-02,2025-12-07,5,30,Male,Pakistani,4,Leisure,Budget,17635,Road,17366,32800,4345,72146,Winter,PKR
1300,Lal Shahbaz Qalandar Shrine,Sindh,2026-05-08,2026-05-13,5,22,Male,Foreign,3,Business,Mid,46065,Road,24502,47190,6490,124247,Spring,PKR
1301,Babusar Top,KPK,2026-10-19,2026-10-26,7,50,Male,Foreign,1,Family,Mid,100401,Road,36876,27958,17185,182420,Autumn,PKR
1302,Quaid e Azam Residency Ziarat,Balochistan,2025-12-19,2025-12-28,9,32,Female,Pakistani,2,Family,Mid,89883,Road,13360,43074,15435,161752,Winter,PKR
1303,Gulmit,Gilgit-Baltistan,2025-10-04,2025-10-10,6,19,Female,Foreign,5,Leisure,Mid,51132,Road,19852,95250,8412,174646,Autumn,PKR
1304,Upper Kachura Lake,Gilgit-Baltistan,2026-11-18,2026-11-22,4,54,Female,Pakistani,2,Family,Mid,32916,Road,52115,19232,6468,110731,Autumn,PKR
1305,Chalta Valley,Gilgit-Baltistan,2026-10-05,2026-10-08,3,24,Male,Foreign,3,Family,Luxury,72360,Flight,72744,62730,14586,222420,Autumn,PKR
1306,Talagang,Punjab,2026-08-22,2026-09-01,10,20,Female,Pakistani,3,Business,Luxury,256070,Road,31579,106980,31950,426579,Summer,PKR
1307,Pasni Fish Harbor,Balochistan,2026-05-10,2026-05-16,6,50,Female,Pakistani,3,Family,Mid,47886,Road,27734,64728,7476,147824,Spring,PKR
1308,Sadiq Garh Palace,Punjab,2025-08-28,2025-09-06,9,21,Male,Pakistani,5,Adventure,Mid,72351,Road,11284,96525,15993,196153,Summer,PKR
1309,Kaghan,KPK,2026-10-26,2026-11-03,8,18,Female,Pakistani,5,Business,Budget,31984,Road,34769,54640,4048,125441,Autumn,PKR
1310,Batura Glacier,Gilgit-Baltistan,2026-07-23,2026-07-30,7,23,Male,Foreign,4,Family,Mid,99911,Road,3960,90188,15540,209599,Summer,PKR
1311,Sudhan Gali,AJK,2026-02-23,2026-03-02,7,55,Male,Foreign,1,Family,Budget,24584,Road,44850,9261,7868,86563,Winter,PKR
1312,Birir Valley,KPK,2025-10-18,2025-10-27,9,52,Male,Pakistani,1,Adventure,Mid,134010,Flight,20136,23607,22131,199884,Autumn,PKR
1313,Bahawalpur,Punjab,2025-09-18,2025-09-23,5,51,Female,Pakistani,1,Leisure,Budget,15080,Road,12640,5080,3055,35855,Autumn,PKR
1314,Bhodesar Temples,Sindh,2026-04-29,2026-05-04,5,31,Male,Pakistani,4,Family,Mid,61955,Road,13689,69520,6525,151689,Spring,PKR
1315,Spin Khwar,KPK,2026-06-18,2026-06-28,10,53,Female,Foreign,1,Leisure,Luxury,259800,Road,47120,56000,21760,384680,Summer,PKR
1316,Sargodha,Punjab,2025-07-13,2025-07-22,9,58,Female,Foreign,5,Leisure,Budget,24723,Road,13595,75645,5004,118967,Summer,PKR
1317,Swat Valley,KPK,2025-04-16,2025-04-25,9,39,Female,Foreign,2,Adventure,Mid,111870,Flight,81660,51534,20475,265539,Spring,PKR
1318,Sunset Park Gwadar,Balochistan,2026-07-07,2026-07-16,9,59,Male,Foreign,2,Business,Budget,52884,Road,49302,33390,6660,142236,Summer,PKR
1319,Mardan,KPK,2025-01-21,2025-01-26,5,19,Female,Pakistani,1,Adventure,Mid,46585,Road,7500,19375,6200,79660,Winter,PKR
1320,Derawar Fort,Punjab,2025-07-20,2025-07-27,7,25,Female,Foreign,4,Adventure,Budget,18200,Road,6585,42028,4949,71762,Summer,PKR
1321,Sudhan Gali,AJK,2026-01-27,2026-02-04,8,27,Female,Pakistani,1,Business,Budget,27064,Road,4669,11656,9424,52813,Winter,PKR
1322,Hussaini Suspension Bridge,Gilgit-Baltistan,2025-08-15,2025-08-25,10,59,Male,Pakistani,5,Business,Mid,100410,Road,10952,138150,22500,272012,Summer,PKR
1323,Tank,KPK,2025-02-07,2025-02-15,8,58,Male,Pakistani,4,Family,Budget,36176,Road,9438,65248,9296,120158,Winter,PKR
1324,Barpu,Gilgit-Baltistan,2025-06-30,2025-07-02,2,28,Male,Pakistani,2,Business,Budget,7110,Road,19227,7824,1578,35739,Summer,PKR
1325,Chakwal,Punjab,2025-07-21,2025-07-30,9,43,Male,Pakistani,3,Family,Luxury,216432,Road,4457,112671,22311,355871,Summer,PKR
1326,Upper Kachura Lake,Gilgit-Baltistan,2026-03-06,2026-03-12,6,43,Female,Pakistani,5,Business,Budget,26424,Road,16842,56760,5238,105264,Spring,PKR
1327,Charsadda,KPK,2026-08-08,2026-08-13,5,20,Male,Pakistani,2,Adventure,Budget,16120,Road,43803,12440,5400,77763,Summer,PKR
1328,Hill Park Karachi,Sindh,2025-06-16,2025-06-20,4,55,Female,Pakistani,5,Family,Mid,37536,Flight,122585,67240,5096,232457,Summer,PKR
1329,Chakwal,Punjab,2026-02-25,2026-03-04,7,20,Female,Foreign,4,Leisure,Budget,22022,Road,2100,30996,3059,58177,Winter,PKR
1330,K-2 Base Camp,Gilgit-Baltistan,2025-09-15,2025-09-24,9,46,Male,Foreign,4,Adventure,Luxury,271971,Road,36428,166500,18162,493061,Autumn,PKR
1331,Bala Hissar (Gilgit),Gilgit-Baltistan,2025-06-14,2025-06-23,9,48,Female,Foreign,2,Adventure,Budget,31329,Road,12615,29358,8505,81807,Summer,PKR
1332,Hangu,KPK,2026-06-27,2026-07-01,4,58,Female,Pakistani,1,Leisure,Mid,50048,Road,13827,12188,9128,85191,Summer,PKR
1333,Danyore Rock Carvings,Gilgit-Baltistan,2025-10-11,2025-10-18,7,30,Male,Pakistani,2,Family,Mid,73416,Flight,71882,29316,9541,184155,Autumn,PKR
1334,Bala Hissar,Punjab,2026-12-21,2026-12-29,8,28,Male,Pakistani,4,Adventure,Mid,74416,Road,5331,99712,8304,187763,Winter,PKR
1335,Karak,KPK,2025-11-25,2025-12-03,8,21,Female,Foreign,3,Leisure,Budget,37960,Road,14889,30000,5504,88353,Autumn,PKR
1336,Dhandh Wildlife Sanctuary,Sindh,2026-09-04,2026-09-08,4,53,Female,Foreign,2,Leisure,Budget,15144,Road,4393,15912,3172,38621,Autumn,PKR
1337,Kohat,KPK,2026-12-25,2026-12-30,5,34,Male,Pakistani,5,Business,Mid,64240,Flight,154170,94750,9275,322435,Winter,PKR
1338,Kharan Desert,Balochistan,2026-08-04,2026-08-13,9,47,Male,Foreign,4,Leisure,Budget,39960,Road,36297,78372,10719,165348,Summer,PKR
1339,Do Darya,Sindh,2025-11-07,2025-11-16,9,19,Male,Pakistani,5,Family,Mid,84663,Road,10272,157905,16956,269796,Autumn,PKR
1340,Ghoragali,KPK,2026-07-11,2026-07-19,8,54,Female,Foreign,5,Business,Mid,119352,Road,7992,153800,13736,294880,Summer,PKR
1341,Aliabad,Gilgit-Baltistan,2025-12-16,2025-12-25,9,23,Female,Foreign,1,Family,Mid,100701,Road,56018,31329,16002,204050,Winter,PKR
1342,Pakka Qila Hyderabad,Sindh,2025-03-01,2025-03-07,6,53,Female,Foreign,3,Family,Mid,66228,Road,17523,68814,11454,164019,Spring,PKR
1343,Shandur Top,KPK,2026-11-17,2026-11-19,2,46,Female,Foreign,4,Family,Budget,10268,Road,13992,14328,1216,39804,Autumn,PKR
1344,Babusar Top,KPK,2026-06-30,2026-07-06,6,42,Male,Foreign,4,Adventure,Mid,80994,Road,33941,77736,8904,201575,Summer,PKR
1345,Birir Valley,KPK,2026-04-03,2026-04-07,4,44,Male,Foreign,4,Family,Luxury,101072,Road,36198,86352,15752,239374,Spring,PKR
1346,Lodhran,Punjab,2025-07-05,2025-07-12,7,44,Male,Foreign,2,Family,Luxury,196973,Road,4809,80416,18242,300440,Summer,PKR
1347,Gahkuch,Gilgit-Baltistan,2025-04-15,2025-04-23,8,34,Female,Foreign,4,Leisure,Luxury,269616,Road,22264,215840,24280,532000,Spring,PKR
1348,Pir Chinasi,AJK,2025-10-18,2025-10-23,5,43,Female,Foreign,3,Adventure,Mid,51490,Road,7099,33225,11655,103469,Autumn,PKR
1349,Babusar Top,Gilgit-Baltistan,2025-06-25,2025-06-27,2,34,Female,Foreign,3,Business,Luxury,77316,Road,2839,29778,5200,115133,Summer,PKR
1350,Gor Khuttree,KPK,2026-04-27,2026-05-05,8,25,Female,Foreign,3,Leisure,Luxury,217992,Flight,61314,142872,25704,447882,Spring,PKR
1351,Badgoi Pass,KPK,2026-05-03,2026-05-05,2,57,Female,Foreign,5,Family,Luxury,60266,Road,13409,53700,5968,133343,Spring,PKR
1352,Mian Channu,Punjab,2026-11-17,2026-11-23,6,47,Female,Foreign,5,Business,Mid,38310,Road,12935,85560,5946,142751,Autumn,PKR
1353,Chagai Hills,Balochistan,2025-07-31,2025-08-05,5,24,Male,Pakistani,1,Adventure,Mid,68160,Road,24650,12105,11255,116170,Summer,PKR
1354,Tank,KPK,2025-03-19,2025-03-22,3,41,Male,Pakistani,5,Family,Luxury,74307,Road,8513,102555,13554,198929,Spring,PKR
1355,Bukkur Island,Sindh,2025-01-03,2025-01-09,6,49,Female,Pakistani,4,Family,Luxury,205908,Road,9768,151488,22050,389214,Winter,PKR
1356,Gulmit,Gilgit-Baltistan,2025-03-10,2025-03-13,3,45,Male,Foreign,2,Adventure,Mid,24741,Road,46251,14244,3090,88326,Spring,PKR
1357,Nanga Parbat Base Camp (Fairy Meadows),Gilgit-Baltistan,2025-06-15,2025-06-19,4,38,Female,Foreign,4,Adventure,Luxury,134376,Road,45070,67152,11964,258562,Summer,PKR
1358,Thandiani,KPK,2026-12-01,2026-12-09,8,27,Male,Foreign,3,Business,Budget,38008,Road,5126,52800,4288,100222,Winter,PKR
1359,Naran,KPK,2025-06-08,2025-06-16,8,34,Male,Foreign,4,Adventure,Luxury,269488,Road,4838,173440,16984,464750,Summer,PKR
1360,Sheosar Lake,Gilgit-Baltistan,2025-12-20,2025-12-23,3,57,Male,Pakistani,5,Business,Mid,36957,Road,20368,36990,3381,97696,Winter,PKR
1361,Blind Lake,Gilgit-Baltistan,2025-02-01,2025-02-08,7,46,Male,Foreign,4,Leisure,Mid,56539,Road,20363,75068,15036,167006,Winter,PKR
1362,Parachinar,KPK,2026-09-27,2026-10-07,10,40,Female,Foreign,3,Leisure,Budget,30950,Road,7240,48720,5220,92130,Autumn,PKR
1363,Faiz Mahal Khairpur,Sindh,2026-04-29,2026-05-03,4,49,Female,Foreign,5,Leisure,Budget,23664,Flight,189060,48620,3160,264504,Spring,PKR
1364,Shorkot,Punjab,2025-11-29,2025-12-02,3,31,Female,Foreign,3,Family,Mid,19908,Road,13473,27855,5262,66498,Autumn,PKR
1365,Booni,KPK,2026-03-20,2026-03-23,3,57,Male,Foreign,1,Family,Mid,25236,Road,15561,8163,5181,54141,Spring,PKR
1366,Nani Mandir Hinglaj,Balochistan,2025-04-27,2025-04-30,3,31,Female,Foreign,5,Leisure,Budget,13719,Road,9401,19860,2907,45887,Spring,PKR
1367,Ratti Gali Lake,AJK,2026-07-01,2026-07-04,3,25,Male,Pakistani,3,Adventure,Budget,15927,Road,6393,19404,2640,44364,Summer,PKR
1368,Rabwah,Punjab,2025-04-05,2025-04-14,9,58,Male,Pakistani,2,Business,Budget,23328,Road,18840,22842,7821,72831,Spring,PKR
1369,Omar Gol,KPK,2026-08-18,2026-08-20,2,38,Female,Foreign,4,Leisure,Mid,28362,Road,53798,23072,3454,108686,Summer,PKR
1370,Kharan Desert,Balochistan,2025-12-09,2025-12-18,9,18,Male,Pakistani,2,Adventure,Luxury,295938,Flight,73356,100998,26325,496617,Winter,PKR
1371,Sonmiani Beach,Sindh,2026-06-10,2026-06-19,9,38,Male,Foreign,4,Business,Mid,124974,Road,26265,100764,20763,272766,Summer,PKR
1372,Faisalabad,Punjab,2026-07-11,2026-07-20,9,39,Male,Foreign,3,Adventure,Mid,60147,Road,19294,68688,9369,157498,Summer,PKR
1373,Mian Channu,Punjab,2026-12-20,2026-12-28,8,49,Male,Foreign,3,Family,Budget,24000,Road,4905,39360,4184,72449,Winter,PKR
1374,Ayun Valley,KPK,2025-11-13,2025-11-16,3,40,Male,Pakistani,4,Business,Mid,36708,Road,19851,28440,4371,89370,Autumn,PKR
1375,Chilam Chowki,Gilgit-Baltistan,2025-05-03,2025-05-13,10,55,Male,Foreign,5,Adventure,Budget,34550,Flight,79580,68650,7460,190240,Spring,PKR
1376,Karoonjhar Mountains,Sindh,2025-01-28,2025-02-03,6,55,Female,Foreign,1,Business,Mid,76764,Road,16378,16236,7200,116578,Winter,PKR
1377,Gwadar Marine Drive,Balochistan,2025-11-20,2025-11-25,5,20,Male,Foreign,2,Business,Luxury,140830,Flight,48672,62550,12910,264962,Autumn,PKR
1378,Mandi Bahauddin,Punjab,2026-09-22,2026-10-02,10,24,Female,Pakistani,1,Adventure,Mid,62070,Road,9728,21430,13810,107038,Autumn,PKR
1379,Hingol River,Balochistan,2026-08-29,2026-09-08,10,30,Male,Pakistani,2,Business,Mid,132630,Road,18816,63920,15210,230576,Summer,PKR
1380,Murree,Punjab,2026-11-25,2026-12-02,7,31,Female,Foreign,1,Leisure,Luxury,156513,Road,12960,36547,17283,223303,Autumn,PKR
